time,volume,open,high,low,close
2023-05-17T17:30:00.000000000Z,819,1.08447,1.08492,1.08426,1.08431
2023-05-17T17:45:00.000000000Z,548,1.08432,1.08443,1.08418,1.08440
2023-05-17T18:00:00.000000000Z,736,1.08440,1.08456,1.08408,1.08416
2023-05-17T18:15:00.000000000Z,1149,1.08414,1.08418,1.08372,1.08392
2023-05-17T18:30:00.000000000Z,624,1.08392,1.08407,1.08368,1.08382
2023-05-17T18:45:00.000000000Z,818,1.08382,1.08395,1.08364,1.08376
2023-05-17T19:00:00.000000000Z,725,1.08375,1.08426,1.08370,1.08418
2023-05-17T19:15:00.000000000Z,597,1.08417,1.08430,1.08400,1.08406
2023-05-17T19:30:00.000000000Z,565,1.08406,1.08418,1.08392,1.08412
2023-05-17T19:45:00.000000000Z,633,1.08411,1.08418,1.08394,1.08399
2023-05-17T20:00:00.000000000Z,398,1.08400,1.08402,1.08386,1.08389
2023-05-17T20:15:00.000000000Z,236,1.08389,1.08390,1.08370,1.08372
2023-05-17T20:30:00.000000000Z,138,1.08372,1.08382,1.08370,1.08370
2023-05-17T20:45:00.000000000Z,275,1.08371,1.08390,1.08370,1.08390
2023-05-17T21:00:00.000000000Z,34,1.08407,1.08414,1.08407,1.08410
2023-05-17T21:15:00.000000000Z,50,1.08408,1.08420,1.08403,1.08420
2023-05-17T21:30:00.000000000Z,129,1.08424,1.08466,1.08411,1.08411
2023-05-17T21:45:00.000000000Z,36,1.08409,1.08416,1.08403,1.08403
2023-05-17T22:00:00.000000000Z,243,1.08404,1.08426,1.08398,1.08422
2023-05-17T22:15:00.000000000Z,158,1.08422,1.08422,1.08400,1.08405
2023-05-17T22:30:00.000000000Z,145,1.08405,1.08421,1.08405,1.08415
2023-05-17T22:45:00.000000000Z,133,1.08413,1.08416,1.08383,1.08386
2023-05-17T23:00:00.000000000Z,172,1.08386,1.08386,1.08371,1.08380
2023-05-17T23:15:00.000000000Z,225,1.08380,1.08386,1.08354,1.08354
2023-05-17T23:30:00.000000000Z,155,1.08353,1.08366,1.08349,1.08360
2023-05-17T23:45:00.000000000Z,181,1.08361,1.08386,1.08359,1.08381
2023-05-18T00:00:00.000000000Z,540,1.08376,1.08391,1.08369,1.08381
2023-05-18T00:15:00.000000000Z,385,1.08380,1.08388,1.08350,1.08380
2023-05-18T00:30:00.000000000Z,598,1.08380,1.08402,1.08374,1.08398
2023-05-18T00:45:00.000000000Z,643,1.08398,1.08434,1.08397,1.08423
2023-05-18T01:00:00.000000000Z,674,1.08423,1.08423,1.08380,1.08416
2023-05-18T01:15:00.000000000Z,676,1.08416,1.08480,1.08412,1.08470
2023-05-18T01:30:00.000000000Z,1502,1.08469,1.08469,1.08406,1.08418
2023-05-18T01:45:00.000000000Z,829,1.08418,1.08458,1.08418,1.08452
2023-05-18T02:00:00.000000000Z,716,1.08452,1.08472,1.08438,1.08458
2023-05-18T02:15:00.000000000Z,495,1.08458,1.08482,1.08442,1.08450
2023-05-18T02:30:00.000000000Z,556,1.08454,1.08459,1.08438,1.08458
2023-05-18T02:45:00.000000000Z,444,1.08454,1.08472,1.08451,1.08462
2023-05-18T03:00:00.000000000Z,566,1.08462,1.08474,1.08444,1.08446
2023-05-18T03:15:00.000000000Z,344,1.08448,1.08448,1.08410,1.08418
2023-05-18T03:30:00.000000000Z,335,1.08418,1.08422,1.08386,1.08393
2023-05-18T03:45:00.000000000Z,370,1.08392,1.08406,1.08377,1.08398
2023-05-18T04:00:00.000000000Z,381,1.08401,1.08405,1.08353,1.08366
2023-05-18T04:15:00.000000000Z,389,1.08366,1.08392,1.08366,1.08376
2023-05-18T04:30:00.000000000Z,269,1.08381,1.08385,1.08348,1.08352
2023-05-18T04:45:00.000000000Z,334,1.08352,1.08354,1.08327,1.08330
2023-05-18T05:00:00.000000000Z,601,1.08330,1.08341,1.08298,1.08318
2023-05-18T05:15:00.000000000Z,542,1.08316,1.08334,1.08312,1.08320
2023-05-18T05:30:00.000000000Z,734,1.08318,1.08360,1.08314,1.08316
2023-05-18T05:45:00.000000000Z,646,1.08316,1.08328,1.08269,1.08302
2023-05-18T06:00:00.000000000Z,973,1.08304,1.08346,1.08260,1.08265
2023-05-18T06:15:00.000000000Z,1073,1.08267,1.08344,1.08260,1.08326
2023-05-18T06:30:00.000000000Z,1025,1.08328,1.08343,1.08283,1.08308
2023-05-18T06:45:00.000000000Z,996,1.08307,1.08314,1.08234,1.08260
2023-05-18T07:00:00.000000000Z,1248,1.08260,1.08312,1.08252,1.08280
2023-05-18T07:15:00.000000000Z,1166,1.08280,1.08292,1.08192,1.08210
2023-05-18T07:30:00.000000000Z,1068,1.08210,1.08267,1.08196,1.08238
2023-05-18T07:45:00.000000000Z,1235,1.08238,1.08264,1.08091,1.08164
2023-05-18T08:00:00.000000000Z,1381,1.08166,1.08222,1.08129,1.08166
2023-05-18T08:15:00.000000000Z,1173,1.08168,1.08216,1.08130,1.08180
2023-05-18T08:30:00.000000000Z,1010,1.08178,1.08207,1.08136,1.08197
2023-05-18T08:45:00.000000000Z,1378,1.08198,1.08202,1.08122,1.08166
