time,volume,open,high,low,close,instrument,granularity,RSI,MACD,Signal_Line,Histogram,BollingerBands_middle,BollingerBands_std,ATR,ADX,OBV
2023-07-04 01:42:00+00:00,71,1.26913,1.26917,1.26912,1.26913,GBP_USD,M1,24.03100775194919,-0.0001733899737568212,-0.00013783360739676832,-3.555636636005287e-05,1.2694895,0.0003836181625809219,0.00014071428571428766,58.87275744436376,-7006
2023-07-04 01:43:00+00:00,51,1.26914,1.26922,1.26914,1.26918,GBP_USD,M1,27.692307692311886,-0.00016715764871788608,-0.00014369841566099186,-2.345923305689421e-05,1.2694415000000001,0.0003570828444780305,0.00013928571428570687,61.47769602608918,-6955
2023-07-04 01:44:00+00:00,73,1.26918,1.2692,1.26911,1.26916,GBP_USD,M1,36.00000000000977,-0.00016196528410072908,-0.0001473517893489393,-1.4613494751789766e-05,1.2693925,0.0003216712115616033,0.00012000000000000899,60.44930553038334,-7028
2023-07-04 01:45:00+00:00,74,1.26916,1.26918,1.26902,1.26902,GBP_USD,M1,33.33333333334018,-0.0001672195251092301,-0.00015132533650099748,-1.5894188608232623e-05,1.2693365,0.000279403028900549,0.00012428571428571962,58.876145974325496,-7102
2023-07-04 01:46:00+00:00,63,1.26902,1.26904,1.26898,1.26902,GBP_USD,M1,32.075471698112025,-0.00016943046008632834,-0.00015494636121806364,-1.4484098868264696e-05,1.26929,0.00024749268980478765,0.00011714285714286328,56.23650918834594,-7165
2023-07-04 01:47:00+00:00,60,1.26902,1.26918,1.26902,1.26916,GBP_USD,M1,44.44444444444901,-0.0001580637514773109,-0.0001555698392699131,-2.493912207397785e-06,1.2692564999999998,0.00021357298747955953,0.00011714285714284742,52.26248321431769,-7105
2023-07-04 01:48:00+00:00,80,1.26916,1.26932,1.26916,1.26932,GBP_USD,M1,58.18181818182222,-0.00013459338146759592,-0.00015137454770944967,1.6781166241853753e-05,1.2692325,0.0001722566931927171,0.00011928571428570274,48.794639582539254,-7025
2023-07-04 01:49:00+00:00,86,1.26932,1.26944,1.26932,1.2694,GBP_USD,M1,57.40740740741502,-0.00010828932084527843,-0.00014275750233661542,3.4468181491337e-05,1.2692145,0.00012713337353238385,0.00012071428571426766,45.55509712616304,-6939
2023-07-04 01:50:00+00:00,54,1.2694,1.2694,1.26926,1.26932,GBP_USD,M1,49.05660377358926,-9.282842638769218e-05,-0.0001327716871468308,3.994326075913861e-05,1.2692085,0.00011846718369732717,0.00011928571428568688,42.11325594847383,-6993
2023-07-04 01:51:00+00:00,69,1.26934,1.26938,1.26928,1.26928,GBP_USD,M1,59.09090909090336,-8.284819937531829e-05,-0.0001227869895925283,3.993879021721002e-05,1.2692035,0.00011282380269848543,0.00011071428571426558,38.40580734719328,-7062
2023-07-04 01:52:00+00:00,57,1.26928,1.26934,1.26928,1.26932,GBP_USD,M1,59.09090909090336,-7.089391098236142e-05,-0.00011240837387049493,4.151446288813351e-05,1.2691995,0.00010674489970622594,0.0001064285714285391,35.416582460158864,-7005
2023-07-04 01:53:00+00:00,52,1.26932,1.26933,1.26924,1.26924,GBP_USD,M1,56.52173913042744,-6.710187408209833e-05,-0.00010334707391281562,3.6245199830717284e-05,1.2691975,0.00010552500293720302,0.00010714285714282948,31.902449534260967,-7057
2023-07-04 01:54:00+00:00,61,1.26928,1.26933,1.26924,1.26932,GBP_USD,M1,58.33333333332755,-5.698444489743437e-05,-9.407454810973938e-05,3.709010321230501e-05,1.2692065,0.00010800950217723202,0.00010499999999999002,28.95314077849972,-6996
2023-07-04 01:55:00+00:00,32,1.26933,1.26934,1.26927,1.26932,GBP_USD,M1,60.869565217387105,-4.84082887566295e-05,-8.494129623911741e-05,3.653300748248791e-05,1.2692105,0.00011076171641718556,0.0001028571428571347,27.089997694932062,-7028
2023-07-04 01:56:00+00:00,68,1.26932,1.26948,1.26931,1.26948,GBP_USD,M1,66.35514018690697,-2.837388393128748e-05,-7.362781377755143e-05,4.5253929846263946e-05,1.2692175,0.00012311205820804666,0.00011142857142857185,26.222650756155684,-6960
2023-07-04 01:57:00+00:00,66,1.26948,1.26954,1.26946,1.26949,GBP_USD,M1,65.04854368931746,-1.1556343012086856e-05,-6.121351962445852e-05,4.965717661237166e-05,1.2692359999999998,0.0001349229797140874,0.00011071428571428145,25.96707745245344,-6894
2023-07-04 01:58:00+00:00,51,1.2695,1.26954,1.26946,1.26949,GBP_USD,M1,66.33663366335698,1.7514892525216652e-06,-4.8620517849062485e-05,5.037200710158415e-05,1.2692525,0.00014494554306604418,0.0001099999999999752,27.332088747777266,-6945
2023-07-04 01:59:00+00:00,67,1.2695,1.26953,1.26943,1.26948,GBP_USD,M1,76.13636363634528,1.1360172773144939e-05,-3.6624379724621e-05,4.798455249776594e-05,1.2692705,0.00014989382183030084,0.00010571428571426456,29.48148397497479,-7012
2023-07-04 02:00:00+00:00,64,1.26948,1.26956,1.26944,1.26946,GBP_USD,M1,74.44444444443485,1.716344136881709e-05,-2.5866815505933385e-05,4.3030256874750474e-05,1.2692855,0.0001532275567203518,0.00010999999999999106,32.58105107454064,-7076
2023-07-04 02:01:00+00:00,36,1.26942,1.26946,1.26931,1.26931,GBP_USD,M1,58.24175824174752,9.548755039334722e-06,-1.8783701396879765e-05,2.8332456436214487e-05,1.269295,0.00014823523244615069,0.00010928571428571652,34.519275012763686,-7112
